qty,value,footprint,references,fitted
1,100n,C_Rect_L7.0mm_W2.5mm_P5.00mm,C1,yes
1,100n,C_Rect_L7.0mm_W2.5mm_P5.00mm,C2,no
3,"PTSM 0,5/3-HH-2,5-THR",PTSM_0.5_3-HH-2.5-THR,H1 H2 H3,yes
1,"PTSM 0,5/5-HH-2,5-THR",PTSM_0.5_5-HH-2.5-THR,J1,yes
1,GPIO4->DATA,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,JP1,yes
1,VCC DATA GND,Pads_1x3,J2,yes
1,H3: bus/U2,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,JP2,yes
1,2k2 rollback,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,R1,no
1,DS2482-100,SOIC-8_3.9x4.9mm_P1.27mm,U1,yes
1,DS2482-100 (0x19),SOIC-8_3.9x4.9mm_P1.27mm,U2,no
